chapter, heading, subheading, description
02,0207,020713,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLD
02,0207,020714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN"
02,0207,020724,"TURKEYS, NOT CUT IN PIECES, FRESH OR CHILLED"
02,0207,020725,"TURKEYS, NOT CUT IN PIECES, FROZEN"
02,0207,020726,TURKEY CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLLD
02,0207,020727,TURKEY CUTS AND EDIBLE OFFAL (INCLUD LIVER) FROZEN
02,0207,020741,"MEAT OF DUCKS, FRESH OR CHILLED, NOT CUT IN PIECES"
02,0207,020742,"MEAT OF DUCKS, FROZEN, NOT CUT IN PIECES"
02,0207,020743,"FATTY LIVERS OF DUCKS, FRESH OR CHILLED"
02,0207,020744,"CUTS AND OFFAL OF DUCKS, EXC LIVERS, FRESH/CHILLED"
02,0207,020745,"CUTS AND OFFAL OF DUCKS, FROZEN"
02,0207,020751,"MEAT OF GEESE, FRESH OR CHILLED, NOT CUT IN PIECES"
02,0207,020752,"MEAT OF GEESE, FROZEN, NOT CUT IN PIECES"
02,0207,020753,"FATTY LIVERS OF GEESE, FRESH OR CHILLED"
02,0207,020754,"CUTS AND OFFAL OF GEESE, EXC LIVERS, FRESH/CHILLED"
02,0207,020755,"CUTS AND OFFAL OF GEESE, FROZEN"
02,0207,020760,"MEAT, OFFAL OF GUINEA FOWLS, FRESH, CHILLED FROZEN"
02,0208,020810,"RABBIT OR HARE MEAT & OFFAL FRESH, CHILLED, FROZEN"
02,0208,020830,"MEAT & EDIBLE OFFAL OF PRIMATES, FRESH,CHILLED/FRZ"
02,0208,020840,MEAT & EDIBLE OFFAL SUBHD 0106.12 FRSH CHILL FROZN
02,0208,020850,"MEAT & EDIBLE OFFAL OF REPTILES, FRESH,CHILL,FRZ"
02,0208,020860,"MEAT & OFFAL OF CAMELS ETC, FRESH, CHILLED, FROZEN"
02,0208,020890,"MEAT & EDIBLE MEAT OFFAL NESOI, FRESH, CHLD, FROZN"
02,0209,020910,"PIG FAT NT RENDERED, FRSH, CHILL, FRZN, SALTED ETC"
02,0209,020990,"POULTRY FAT, NT RENDERD, FRSH, CHILL, FRZ SALT ETC"
02,0210,021011,"HAMS, SHOULDERS & CUTS, BONE IN, SALTED, DRD, SMKD"
02,0210,021012,"MEAT OF SWINE, BELLIES (BACON ETC), CURED ETC"
02,0210,021019,"MEAT OF SWINE NESOI, SALTED, IN BRINE, DRIED, SMKD"
02,0210,021020,"MEAT, BOVINE ANIMALS, SALTED, IN BRINE, DRD, SMOKD"
02,0210,021091,"MEAT OF PRIMATES, SALT, IN BRINE, DRD, SMK,FLR&MEL"
02,0210,021092,"EDIBLE FLR,MEAL,MEAT,OF OF SUBHD 0106.20,SALT,DRD"
02,0210,021093,"MEAT&OFL OF REPTILES,SALT,IN BRINE,DRD,SMK,INC FLR"
02,0210,021099,"MEAT&OFFAL,SALT,IN BRINE,DRD,SMK,INCL FLR ETC,NESO"
03,0301,030111,"ORNAMENTAL FISH, LIVE, FRESHWATER"
03,0301,030119,"ORNAMENTAL FISH, LIVE, OTHER THAN FRESHWATER"
03,0301,030191,"TROUT (SALMO TRUTTA, GAIRDNERI, CLARKI ETC.), LIVE"
03,0301,030192,"EELS (ANGUILLA SPP.), LIVE"
03,0301,030193,"CARP, LIVE"
03,0301,030194,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, LIVE"
03,0301,030195,"SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII), LIVE"
03,0301,030199,"FISH, LIVE, NESOI"
03,0302,030211,"TROUT (SALMO TRUTTA, ETC) FRESH, CHILLED, NESOI"
03,0302,030213,"PACIFIC SALMON, FRESH OR CHILLED"
03,0302,030214,ATLANTIC SALMON AND DANUBE SALMON FRESH OR CHILLED
03,0302,030219,"SALMONIDAE, NESOI, FRESH OR CHILLED"
03,0302,030221,"HALIBUT/GREENLAND TURBOT EX FILLET, LVR, ROE FR/CH"
03,0302,030222,"PLAICE EXCEPT FILLETS, LIVERS, ROES, FRESH/CHILLED"
03,0302,030223,"SOLE EXCEPT FILLETS, LIVERS & ROES, FRESH, CHILLED"
03,0302,030224,"TURBOTS, FRESH OR CHILLED"
03,0302,030229,"FLATFISH NESOI EXCEPT FILLET, LIVER ROE FRESH/CHLD"
03,0302,030231,"ALBACORE/LONGFINNED TUNAS EX FILLET LVR ROE, FR/CH"
03,0302,030232,"YELLOWFIN TUNAS EXCEPT FILLETS, LIVERS, ROES FR/CH"
03,0302,030233,"SKIPJACK TUNAS EXCEPT FILLETS, LIVER, ROE, FR, CH"
03,0302,030234,"BIG EYE TUNAS EXCL FILLETS, LIVERS&ROES; FRSH/CHIL"
03,0302,030235,"ATLANTIC & PACIFIC BLUEFIN TUNAS, FRESH OR CHILLED"
03,0302,030236,"SOUTHN BLUEFIN TUNA,EXCL FILLET,LIVER,ROE; FRH/CHL"
03,0302,030239,"TUNAS NESOI, WITH BONES, FRESH OR CHILLED"
03,0302,030241,"HERRINGS, FRESH OR CHILLED"
03,0302,030242,"ANCHOVIES, FRESH OR CHILLED"
03,0302,030243,SARDINES SARDINELLA BRISLINGS/SPRATS FRESH/CHILLED
03,0302,030244,"MACKEREL, FRESH OR CHILLED"
03,0302,030245,"JACK AND HORSE MACKEREL, FRESH OR CHILLED"
03,0302,030246,"COBIA, FRESH OR CHILLED"
03,0302,030247,"SWORDFISH, FRESH OR CHILLED"
03,0302,030249,"INDIAN MACKRLS, MARLINS,SAIL/SPEARFISH, ETC, FR/CH"
03,0302,030251,"COD, FRESH OR CHILLED"
03,0302,030252,"HADDOCK, FRESH OR CHILLED"
03,0302,030253,"COALFISH, FRESH OR CHILLED"
03,0302,030254,"HAKE, FRESH OR CHILLED"
03,0302,030255,"ALASKA POLLOCK, FRESH OR CHILLED"
03,0302,030256,"BLUE WHITINGS, FRESH OR CHILLED"
03,0302,030259,FISH OF FAM BREGMACEROTIDAE ETC FRESH/CHILLD NESOI
03,0302,030271,"TILAPIAS, FRESH OR CHILLED"
03,0302,030272,"CATFISH, FRESH OR CHILLED"
03,0302,030273,"CARP, FRESH OR CHILLED"
03,0302,030274,"EELS, FRESH OR CHILLED"
03,0302,030279,"NILE PERCH AND SNAKEHEADS, FRESH OR CHILLED"
03,0302,030281,"DOGFISH AND OTHER SHARKS, FRESH OR CHILLED"
03,0302,030282,"RAYS AND SKATES, FRESH OR CHILLED"
03,0302,030283,"TOOTHFISH, FRESH OR CHILLED"
03,0302,030284,"SEABASS, FRESH OR CHILLED"
03,0302,030289,"FISH, FRESH OR CHILLED, NESOI"
03,0302,030291,"LIVERS, ROES AND MILT, FRESH OR CHILLED"
03,0302,030292,"SHARK FINS, FRESH OR CHILLED, EXCEPT FILLETS"
03,0302,030299,"OTHER FISH, FRESH OF CHILLED, NESOI"
03,0303,030311,"SOCKEYE SALMON, FROZEN"
03,0303,030312,"PACIFIC SALMON, FROZEN, NESOI"
03,0303,030313,"ATLANTIC SALMON AND DANUBE SALMON, FROZEN"
03,0303,030314,"TROUT, FROZEN"
03,0303,030319,"SALMONIDAE, FROZEN, NESOI"
03,0303,030323,"TILAPIAS, FROZEN"
03,0303,030324,"CATFISH, FROZEN"
03,0303,030325,"CARP, FROZEN"
03,0303,030326,"EELS, FROZEN"
03,0303,030329,"NILE PERCH AND SNAKEHEADS, FROZEN"
03,0303,030331,HALIBUT/GREENLAND TURBOT EX FILLET/LIVER/ROE FROZN
03,0303,030332,"PLAICE EXCEPT FILLETS, LIVERS AND ROES, FROZEN"
03,0303,030333,"SOLE, EXCEPT FILLETS, LIVERS AND ROES, FROZEN"
03,0303,030334,"TURBOTS, FROZEN"
03,0303,030339,"FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES, FRZ"
03,0303,030341,ALBACORE/LONGFINNED TUNAS EX FILLET/LVR/ROE FROZEN
03,0303,030342,"YELLOWFIN TUNA EXCEPT FILLETS, LIVER & ROES FROZEN"
03,0303,030343,"SKIPJACK TUNAS EXCEPT FILLETS, LIVERS, ROES, FROZN"
03,0303,030344,"BIGEYE TUNAS EXCLUD FILLETS, LIVERS & ROES, FROZEN"
03,0303,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN"
03,0303,030346,"FROZEN SOUTHERN BLUEFIN TUNA,NT FILLT,LIVR,ROE,"
03,0303,030349,"TUNAS NESOI, WITH BONES, FROZEN"
03,0303,030351,"HERRINGS, FROZEN"
03,0303,030353,"SARDINES, SARDINELLA, BRISLING OR SPRATS, FROZEN"
03,0303,030354,"MACKEREL, FROZEN"
03,0303,030355,"JACK AND HORSE MACKEREL, FROZEN"
03,0303,030356,"COBIA, FROZEN"
03,0303,030357,"SWORDFISH, FROZEN"
03,0303,030359,"ANCHOVIES, EXLCUDING LIVERS AND ROES"
03,0303,030363,"COD, FROZEN"
03,0303,030364,"HADDOCK, FROZEN"
03,0303,030365,"COALFISH, FROZEN"
03,0303,030366,"HAKE, FROZEN"
03,0303,030367,"ALASKA POLLOCK, FROZEN"
03,0303,030368,"BLUE WHITINGS, FROZEN"
03,0303,030369,FISH BREGMACEROTIDAE EUCLICHTHYIDAE ETC FRZN NESOI
03,0303,030381,"DOGFISH AND OTHER SHARKS, FROZEN"
03,0303,030382,"RAYS AND SKATES, FROZEN"
03,0303,030383,"TOOTHFISH, FROZEN"
03,0303,030384,"SEABASS, FROZEN"
03,0303,030389,"FISH, FROZEN, NESOI"
03,0303,030391,"LIVERS, ROES AND MILT, FROZEN"
03,0303,030392,"SHARK FINS, FROZEN"
03,0303,030399,"FISH FINS,HEADS,TAILS, OTHER EDIBLE FISH OFFAL, FZ"
03,0304,030431,"TILLAPIA FILLETS, FRESH OR CHILLED"
03,0304,030432,"CATFISH FILLETS, FRESH OR CHILLED"
03,0304,030433,"NILE PERCH FILLETS, FRESH OR CHILLED"
03,0304,030439,"CARP FILLETS AND EEL FILLETS, FRESH OR CHILLED"
03,0304,030441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLET FRESH/CHLL"
03,0304,030442,"TROUT FILLETS, FRESH OR CHILLED"
03,0304,030443,"FLAT FISH FILLETS, FRESH OR CHILLED"
03,0304,030444,FISH FILLETS FAM BREGMACEROTIDAE ETC FRESH/CHILLED
03,0304,030445,"SWORDFISH FILLETS, FRESH OR CHILLED"
03,0304,030446,"TOOTH FISH FILLETS, FRESH OR CHILLED"
03,0304,030447,"DOGFISH AND OTHER SHARK FILLETS, FRESH OR CHILLED"
03,0304,030448,"RAY AND SKATE (RAJIDAE) FILLETS, FRESH OR CHILLED"
03,0304,030449,"FISH FILLETS, FRESH OR CHILLED, NESOI"
03,0304,030451,"TILAPIA, CATFISH, CARP, ETC MEAT FRESH/CHILL NESOI"
03,0304,030452,SALMONIDAE MEAT FRESH/CHILLED EXC FILLETS & STEAKS
03,0304,030453,FISH MEAT FAM BREGMACEROTIDAE ETC FRESH/CHLL NESOI
03,0304,030454,"SWORDFISH MEAT, FRESH/CHILLED EXC FILLETS & STEAKS"
03,0304,030455,"TOOTHFISH MEAT, FRESH/CHILLED EXC FILLETS & STEAKS"
03,0304,030456,"DOGFISH AND OTHER SHARK MEAT (NO FILLETS), FR/CH"
03,0304,030457,"OTHER RAY AND SKATE MEAT, FRESH OR CHILLED"
03,0304,030459,FISH MEAT FRESH/CHILLED EXC FILLETS & STEAKS NESOI
03,0304,030461,"TILAPIA FILLETS, FROZEN"
03,0304,030462,"CATFISH FILLETS, FROZEN"
03,0304,030463,"NILE PERCH FILLETS, FROZEN"
03,0304,030469,"CARP, EEL AND SNAKEHEAD FILLETS, FROZEN"
03,0304,030471,"COD FILLETS, FROZEN"
03,0304,030472,"HADDOCK FILLETS, FROZEN"
03,0304,030473,"COALFISH FILLETS, FROZEN"
03,0304,030474,"HAKE FILLETS, FROZEN"
03,0304,030475,"ALASKA POLLOCK FILLETS, FROZEN"
03,0304,030479,"FISH FILLET FAM BREGMACERODITAE, ETC. FROZEN NESOI"
03,0304,030481,"PACIFIC, ATLANTIC AND DANUBE SALMON FILLETS FROZEN"
03,0304,030482,"TROUT FILLETS, FROZEN"
03,0304,030483,"FLAT FISH FILLETS, FROZEN"
03,0304,030484,"SWORDFISH FILLETS, FROZEN"
03,0304,030485,"TOOTHFISH FILLETS, FROZEN"
03,0304,030486,"HERRING FILLETS, FROZEN"
03,0304,030487,"TUNA, SKIPJACK/STRIPE-BELLIED BONITO FILLET FROZEN"
03,0304,030488,"DOGFISH, OTHER SHARKS, RAYS, SKATES, FROZEN FILLET"
03,0304,030489,"FISH FILLETS, FROZEN, NESOI"
03,0304,030491,"SWORDFISH, FROZEN, NESOI"
03,0304,030492,"TOOTHFISH, FROZEN, NESOI"
03,0304,030493,TILAPIA CATFISH CARP EELS NILE PERCH ETC FRZ NESOI
03,0304,030494,"ALASKA POLLOCK, FROZEN, EXCEPT FILLETS"
03,0304,030495,"FISH OF FAMILIES BREGMACEROTIDAE ETC, FROZEN NESOI"
03,0304,030496,"DOGFISH AND OTHER SHARKS, NESOI, FROZEN"
03,0304,030497,"RAYS AND SKATES, NESOI, FROZEN"
03,0304,030499,"FISH MEAT, FROZEN, NESOI"
03,0305,030510,"FLOURS, MEALS & PELLTS OF FISH, FOR HUMAN CONSUMPT"
03,0305,030520,"FISH LIVER & ROE, DRIED, SMOKED, SALTD OR IN BRINE"
03,0305,030531,TILAPIA CATFISH CARP ETC FILLET DRIED/SALTED/BRINE
03,0305,030532,FISH FILLETS BREGMACEROTIDAE ETC DRIED/SALT/BRINE
03,0305,030539,"FISH FILLETS DRIED SALT IN BRINE, NOT SMOKED NESOI"
03,0305,030541,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED"
03,0305,030542,"HERRINGS, INCLUDING FILLETS, SMOKED"
03,0305,030543,"TROUT, SMOKED, INCLUDING FILLETS"
03,0305,030544,TILAPIAS CATFISH CARP EELS ETC SMOKED INCL FILLETS
03,0305,030549,"FISH INCLUDING FILLETS, SMOKED, NESOI"
03,0305,030551,"COD, DRIED, WHETHER OR NOT SALTED BUT NOT SMOKED"
03,0305,030552,"TILAP,CTFSH,EEL,NLEP,SNKH,DRIED,SLTED/NOT,NT SMKD"
03,0305,030553,"FISH OF SPECIF FAM, W/NOT SALTED, NOT SMOKED"
03,0305,030554,"HERRING, ANCHVIES, ETC, DRIED W/NOT SALTD, NOT SMK"
03,0305,030559,"FISH, DRIED, WHETHER SALTED BUT NOT SMOKED NESOI"
03,0305,030561,"HERRINGS, SALTED, OR IN BRINE, NOT DRY OR SMOKED"
03,0305,030562,"COD, SALTED OR IN BRINE, NOT DRIED OR SMOKED"
03,0305,030563,"ANCHOVIES, SALTED OR IN BRINE, NOT DRY OR SMOKE"
03,0305,030564,"TILAPIA CATFISH ETC BRINE, SALTED NOT DRIED/SMOKED"
03,0305,030569,"FISH NESOI, SALTED OR IN BRINE, NOT DRY OR SMOKE"
03,0305,030571,"SHARK FINS, SMOKED, DRIED, SALTED OR IN BRINE"
03,0305,030572,"FISH HEADS, TAILS & MAWS SMOKED DRIED SALTED BRINE"
03,0305,030579,FISH FIN EDIBLE OFFAL SMOKE DRIED SALT BRINE NESOI
03,0306,030611,"ROCK LOBSTER AND OTHER SEA CRAWFISH, FROZEN"
03,0306,030612,"LOBSTERS, INCLUDING IN SHELL, FROZEN"
03,0306,030614,"CRABS, INCLUDING IN SHELL, FROZEN"
03,0306,030615,"NORWAY LOBSTERS, FROZEN"
03,0306,030616,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN"
03,0306,030617,"SHRIMPS AND PRAWNS, FROZEN, NESOI"
03,0306,030619,CRUSTACEANS NESOI CKD STMG/BOILG FRZN FLRS MLS ETC
03,0306,030631,"ROCK LOBSTER, OTHER SEA CRAWFISH LIVE/FRESH/CHILL"
03,0306,030632,"LOBSTERS, LIVE, FRESH,OR CHILLED"
03,0306,030633,"CRABS, LIVE, FRESH OR CHILLED"
03,0306,030634,"NORWAY LOBSTERS, LIVE, FRESH OR CHILLED"
03,0306,030635,"COLD-WATER SHRIMP AND PRAWNS, LIVE, FRESH OR CHILL"
03,0306,030636,"OTHER SHRIMP AND PRAWNS, LIVE, FRESH  OR CHILLED"
03,0306,030639,"OTHER, INC FLUR/MEAL/PLT OF CURSTCNS, HUMAN CONSP"
03,0306,030691,"ROCK LOBSTER, CRAWFISH; DRIED/SALTED/BRINE/SMOKED"
03,0306,030692,"LOBSTERS, OTHER, DRIED SALTED OR IN BRINE, SMOKED"
03,0306,030693,"CRABES, DRIED SALTED OR IN BRINE, SMOKED"
03,0306,030694,"NORWAY LOBSTERS DRIED, SALTED OR IN BRINE, SMOKED"
03,0306,030695,"SHRIMPS AND PRAWNS DRIED, SALTED OR IN BRINE, SMOK"
03,0306,030699,"OTHER CURSTACNS, INC FLR, ML, PT FOR HUMN CONS, DR"
03,0307,030711,"OYSTERS, LIVE, FRESH OR CHILLED"
03,0307,030712,"OYSTERS, FROZEN"
03,0307,030719,"OYSTERS, NESOI"
03,0307,030721,"SCALLOPS INCL QUEEN SCALLOPS, LIVE, FRESH, CHILLED"
03,0307,030722,"SCALLOPS, FROZEN"
03,0307,030729,"SCALLOPS INCL QUEEN, FROZEN/DRIED/SALTED/IN BRINE"
03,0307,030731,"MUSSELS, LIVE, FRESH OR CHILLED"
03,0307,030732,"MUSSELS, FROZEN"
03,0307,030739,"MUSSELS, FROZEN, DRIED, SALTED OR IN BRINE"
03,0307,030742,"CUTTLE FISH AND SQUID, LIVE, FRESH OR CHILLED"
03,0307,030743,"SQUID, FROZEN"
03,0307,030749,"CUTTLE FISH & SQUID, FROZ, DRI, SALTED OR IN BRINE"
03,0307,030751,"OCTOPUS, LIVE, FRESH OR CHILLED"
03,0307,030752,"OCTOPUS, FROZEN"
03,0307,030759,"OCTOPUS, FROZEN, DRIED, SALTED OR IN BRINE"
03,0307,030760,SNAILS NESOI LIVE/FRSH/CHLD/FRZ/DRD/SALTD/IN BRINE
03,0307,030771,"CLAMS, COCKLES AND ARK SHELLS, LIVE, FRESH/CHILLED"
03,0307,030772,"CLAMS, FROZEN"
03,0307,030779,"CLAMS, COCKLES AND ARK SHELLS, NESOI"
03,0307,030781,"ABALONE, LIVE, FRESH OR CHILLED"
03,0307,030782,"STROMBOID CONCHS, LIVE, FRESH OR CHILLED"
03,0307,030783,"ABALONE, FROZEN"
03,0307,030784,"STROMBOID CONCHS, FROZEN"
03,0307,030787,"ABALONE, NESOI"
03,0307,030788,"STROMBOID CONCHS, NESOI"
03,0307,030791,"MOLLUSCS, LIVE, FRESH OR CHILLED, NESOI"
03,0307,030792,"OTHER MOLLUSCS, INC FL,ML, HUMN CONSUMP, FROZEN"
03,0307,030799,"MOLLUSCS & EDIBLE FLOURS, MEALS AND PELLETS, NESOI"
03,0308,030811,"SEA CUCUMBERS, LIVE, FRESH OR CHILLED"
03,0308,030812,"SEA CUCUMBERS, FROZEN"
03,0308,030819,"SEA CUCUMBERS, NESOI"
03,0308,030821,"SEA URCHINS, LIVE, FRESH OR CHILLED"
03,0308,030822,"SEA URCHINS, FROZEN"
03,0308,030829,"SEA URCHINS, NESOI"
03,0308,030830,JELLYFISH LIVE FRESH ETC; SMOKED; EDIBLE FLOUR ETC
03,0308,030890,"AQUATIC INVERTEBRATES, NESOI; EDIBLE FLOURS ETC"
04,0401,040110,"MILK AND CREAM, NT CONCNTRD, NT SWEETD, NOV 1% FAT"
04,0401,040120,"MILK/CREAM NT CNCTRD/SWT, FAT CONTENT OV 1% NOV-6%"
04,0401,040140,MILK & CREAM FAT CONT 6-10% NOT CONCENT OR SWEETEN
04,0401,040150,"MILK & CREAM FAT CONT GT 10%, NOT CONCENT OR SWEET"
04,0402,040210,"MLK & CRM,CNTD,SWT,POWDR,GRAN/SOLIDS,NOV 1.5% FAT"
04,0402,040221,MLK/CREAM CNCTRD NT SWTN PWD/OTH SOLIDS OV 1.5% FA
04,0402,040229,"MLK & CRM,CNTD,SWTND,POWDR/SOLIDS, OVER 1.5% FAT"
04,0402,040291,"MILK AND CREAM, CONCENTRATED, NOT SWEETENED, NESOI"
04,0402,040299,"MILK AND CREAM, SWEETENED, CONCEN OR NOT NESOI"
04,0403,040310,"YOGURT, W/N SWEETENED, FLAVORED OR CNTG FRUIT/COCO"
04,0403,040390,BUTTERMILK/KEPHIR/CURDLED FERMNTD ACIDFD MLK & CRM
04,0404,040410,WHEY & MODFD WHEY WHET/NT CNCNTRTD CNTG ADD SWEETN
04,0404,040490,"PRODUCTS OF NATURAL MILK CONSTITUENTS, NESOI"
04,0405,040510,BUTTER
04,0405,040520,DAIRY SPREADS
04,0405,040590,"FATS AND OILS DERIVED FROM MILK, N.E.S.O.I."
04,0406,040610,CHEESE (UNRPND/UNCURD) FRSH INCL WHEY CHEESE CURD
04,0406,040620,"CHEESE OF ALL KINDS, GRATED OR POWDERED"
04,0406,040630,"CHEESE, PROCESSED, NOT GRATED OR POWDERED"
04,0406,040640,"CHEESE, BLUE-VEINED, NESOI"
04,0406,040690,"CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY"
04,0407,040711,"EGGS OF CHICKENS, FERTILIZED FOR INCUBATION"
04,0407,040719,"EGGS OF BIRDS, FERTILIZED FOR INCUBATION, NESOI"
04,0407,040721,"EGGS OF CHICKENS, FRESH, NESOI"
04,0407,040729,"EGGS OF BIRDS, FRESH, NESOI"
04,0407,040790,"BIRDS' EGGS, IN SHELL, PRESERVED OR COOKED"
04,0408,040811,"EGG YOLKS, DRIED, WHETHER OR NOT SWEETENED"
04,0408,040819,"EGG YOLKS, FRSH, FRZN, COOKED BY WATER, MOLDED ETC"
04,0408,040891,"BIRDS' EGGS NOT IN SHELL, DRIED, W/N SWEETENED"
04,0408,040899,"BIRDS' EGGS NT IN SHELL, FRSH FRZN COOKD WATER ETC"
04,0409,040900,"HONEY, NATURAL"
04,0410,041000,"EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI"
05,0501,050100,"HUMAN HAIR, UNWORKED AND WASTE OF HUMAN HAIR"
05,0502,050210,"PIGS, HOGS, BOARS BRISTLES & HAIR & WASTE THEREOF"
05,0502,050290,"BADGER HAIR & OTHER BRUSHMAKING HAIR, WASTE THEROF"
05,0504,050400,"ANIMAL (NOT FISH) GUTS, BLADDERS, STOMACHS & PARTS"
05,0505,050510,DOWN FOR STUFFING CLEANED/DISINFECT TREAT FOR PRES
